semana,demanda_predicha
1,314.5943902908251
2,167.96985084085009
3,168.57517449676513
4,171.29606477357066
5,168.14557980450775
6,169.3144250310278
7,166.37671330340686
8,165.41440729172277
9,169.31488523650142
10,354.5822374405859
11,385.84638235483726
12,382.6238014908083
13,380.76597187320033
14,381.3110176868408
15,385.7999688201668
16,384.3866341339534
17,381.9775445474143
18,386.995865065042
19,488.7395001350752
20,506.0023611785295
21,506.4828408532484
22,504.23263265284106
23,504.9814921932067
24,507.33397650734673
25,506.5814216524968
26,509.268350089259
27,505.8405442926396
28,503.9987937150454
29,472.85684971776584
30,476.62690673427335
31,478.69358674866726
32,471.6883600327275
33,471.97324441055343
34,479.10501648358047
35,472.4361360278185
36,474.8267256884025
37,469.6859632289991
38,471.59627852490337
39,376.09520359213445
40,355.95662719854806
41,361.61065909455584
42,359.053020758749
43,356.2702933707641
44,358.01736013714105
45,363.7083250037699
46,361.72958018172073
47,136.66227653228083
48,45.34087974595358
49,46.67452749971398
50,45.06536496688734
51,180.5208961099683
52,506.61077643775917
