año,mes,demanda_promedio_predicha,fecha
2016,1,46.579612724758874,2016-01-01
2016,2,46.711558981834415,2016-02-01
2016,3,47.54349336143687,2016-03-01
2016,4,42.97228970184956,2016-04-01
2016,5,47.40289291240328,2016-05-01
2016,6,41.127709941771585,2016-06-01
2016,7,44.81196319077268,2016-07-01
2016,8,41.527236959517694,2016-08-01
2016,9,48.020363849553284,2016-09-01
2016,10,42.808484597012566,2016-10-01
2016,11,42.36965519147735,2016-11-01
2016,12,43.82826078580094,2016-12-01
2017,1,42.223143640626255,2017-01-01
2017,2,40.10762355367327,2017-02-01
2017,3,48.25384625676751,2017-03-01
2017,4,44.957134073409094,2017-04-01
2017,5,43.50234119381952,2017-05-01
2017,6,43.37717779225007,2017-06-01
2017,7,44.845564500698586,2017-07-01
2017,8,44.47519771135047,2017-08-01
2017,9,45.89335585461799,2017-09-01
2017,10,45.68116232060992,2017-10-01
2017,11,43.91009327869413,2017-11-01
2017,12,42.048478416660735,2017-12-01
2018,1,50.228627436150546,2018-01-01
2018,2,41.59559280332275,2018-02-01
2018,3,44.75919785000594,2018-03-01
2018,4,46.82739277085245,2018-04-01
2018,5,51.604130879011905,2018-05-01
2018,6,43.76396586753042,2018-06-01
2018,7,48.75343726850469,2018-07-01
2018,8,43.18699181476888,2018-08-01
2018,9,44.69797570285695,2018-09-01
2018,10,45.40949600326644,2018-10-01
2018,11,40.43818188900381,2018-11-01
2018,12,49.91514252627196,2018-12-01
2019,1,43.25552355241744,2019-01-01
2019,2,34.355233853811114,2019-02-01
2019,3,44.35733185297743,2019-03-01
2019,4,41.53021234711817,2019-04-01
2019,5,44.22746413102097,2019-05-01
2019,6,47.43592371130614,2019-06-01
2019,7,42.280005749982585,2019-07-01
2019,8,46.12210914715368,2019-08-01
2019,9,47.85433076852708,2019-09-01
2019,10,44.92635993363426,2019-10-01
2019,11,45.91479497921637,2019-11-01
2019,12,49.47395540113071,2019-12-01
2020,1,43.32118038276949,2020-01-01
2020,2,41.44253238698322,2020-02-01
2020,3,52.68908731598055,2020-03-01
2020,4,48.62879379069153,2020-04-01
2020,5,42.1903311922144,2020-05-01
2020,6,46.6669376258803,2020-06-01
2020,7,46.84702791477868,2020-07-01
2020,8,45.4976043255344,2020-08-01
2020,9,40.428531806471945,2020-09-01
2020,10,47.820318439709595,2020-10-01
2020,11,44.5408075743611,2020-11-01
2020,12,45.301237819500585,2020-12-01
2021,1,38.889865159998855,2021-01-01
2021,2,34.67743332570058,2021-02-01
2021,3,43.0535225103952,2021-03-01
2021,4,38.54286311348424,2021-04-01
2021,5,43.68859812012888,2021-05-01
2021,6,45.86117898292096,2021-06-01
2021,7,42.59382120064201,2021-07-01
2021,8,45.7185179756467,2021-08-01
2021,9,42.47869150261135,2021-09-01
2021,10,47.02655796611882,2021-10-01
2021,11,47.10412568803295,2021-11-01
2021,12,50.62843727865063,2021-12-01
2022,1,47.29828777705754,2022-01-01
2022,2,39.50876237292659,2022-02-01
2022,3,41.61068737337118,2022-03-01
2022,4,40.660399658981596,2022-04-01
2022,5,43.603849849263504,2022-05-01
2022,6,42.45644958855324,2022-06-01
2022,7,43.86078583775602,2022-07-01
2022,8,38.821522195257394,2022-08-01
2022,9,42.40051247859867,2022-09-01
2022,10,46.96874068877414,2022-10-01
2022,11,44.63043729805704,2022-11-01
2022,12,44.23504540084437,2022-12-01
2023,1,50.54976275752906,2023-01-01
2023,2,44.52427668272355,2023-02-01
2023,3,42.54345547570608,2023-03-01
2023,4,47.987137940894776,2023-04-01
2023,5,49.45299918226897,2023-05-01
2023,6,51.242990480754194,2023-06-01
2023,7,43.91542638430478,2023-07-01
2023,8,41.697364569609825,2023-08-01
2023,9,46.37801057323762,2023-09-01
2023,10,42.63466011727803,2023-10-01
2023,11,45.55407426966185,2023-11-01
2023,12,37.66402930372173,2023-12-01
